"","id","passer_x","passer_y","receiver_x","receiver_y","to_receiver_x","to_receiver_y","ball_start_x","ball_start_y","ball_start_z","ball_end_x","ball_end_y","ball_end_z","to_receiver","assist_opp","pass_type","frame","game_clock","oteam","dteam","passer","receiver","start_clock","complete","is_to","end_clock","led_to_shot","inbounds","backcourt","reversal","secondary_assist","season","game_code","period","chance_id","possession_id","pbp_id"
"43","2017102117_1_51629",4.43,11.81,35.05,28.28,NA,NA,7.96,13.34,9.09,33.24,25.8,10.45,NA,1,"kickout",6149,499.320007324219,17,25,323133616590607,245349225423068,499.320007324219,1,0,498.440002441406,1,0,0,0,0,2017,2017102117,1,"2017102117_1_51198","2017102117_1_51198",NA
"44","2017102117_1_51805",80.2,6.67,77.07,35.5,NA,NA,78.91,10.24,6.4,77.43,31.9,6.37,NA,0,"outlet",6325,492.279998779297,25,17,175966439557606,487201425270005,492.279998779297,1,0,491.600006103516,0,0,1,0,0,2017,2017102117,1,"2017102117_1_51755","2017102117_1_51755",NA
"45","2017102117_1_51927",26.13,40.98,25.54,28.12,NA,NA,26.18,37.25,8.61,23.75,31.1,8.19,NA,0,"attacking",6447,487.399993896484,25,17,487201425270005,608235943731620,487.399993896484,1,0,487.160003662109,0,0,0,0,0,2017,2017102117,1,"2017102117_1_51755","2017102117_1_51755",NA
"46","2017102117_1_51963",17.46,29.95,27.76,13.07,NA,NA,20.75,28.8,5.92,26.55,15.93,5.75,NA,0,"kickout",6483,485.959991455078,25,17,608235943731620,175966439557606,485.959991455078,1,0,485.559997558594,1,0,0,1,0,2017,2017102117,1,"2017102117_1_51755","2017102117_1_51755",NA
"47","2017102117_1_53635",95.34,23.68,72.21,5.32,NA,NA,93.23,21.98,5.59,74.92,7.82,5.44,NA,0,"other",6955,483,17,25,311420339272439,323133616590607,483,1,0,483.200012207031,0,1,1,0,0,2017,2017102117,1,"2017102117_1_53530","2017102117_1_53530",NA
"48","2017102117_1_53816",25.6,4.03,20.55,17.9,NA,NA,23.27,6.77,6.53,21.73,14.33,6.21,NA,0,"elbow entry",7136,476.720001220703,17,25,323133616590607,245349225423068,476.720001220703,1,0,476.440002441406,0,0,0,0,0,2017,2017102117,1,"2017102117_1_53530","2017102117_1_53530",NA
"49","2017102117_1_53916",28,17.3,17.99,10.22,NA,NA,25.93,14.27,7.33,21.91,9.63,9.06,NA,0,"perimeter",7236,472.720001220703,17,25,245349225423068,721664536625359,472.720001220703,1,0,472.239990234375,1,0,0,0,0,2017,2017102117,1,"2017102117_1_53530","2017102117_1_53530",NA
"50","2017102117_1_54155",94.94,24.19,71.62,43.73,NA,NA,91.85,26.13,5.74,74.16,41.14,7.44,NA,0,"other",7475,463.160003662109,25,17,608235943731620,725627757610248,463.160003662109,1,0,462.480010986328,0,1,1,0,0,2017,2017102117,1,"2017102117_1_54029","2017102117_1_54029",NA
"51","2017102117_1_54421",31.65,50.18,38.36,40.14,NA,NA,34.98,47.97,4.82,38.14,43.37,5.71,NA,0,"other",7741,452.519989013672,25,17,725627757610248,608235943731620,452.519989013672,1,0,452.320007324219,0,0,0,0,0,2017,2017102117,1,"2017102117_1_54029","2017102117_1_54029",NA
"52","2017102117_1_54470",38.63,41.88,40.13,45.06,NA,NA,41.13,42.72,4.12,41.05,42.94,3.97,NA,0,"other",7790,450.559997558594,25,17,608235943731620,725627757610248,450.559997558594,1,0,450.480010986328,1,0,0,0,0,2017,2017102117,1,"2017102117_1_54029","2017102117_1_54029",NA
